time alive avgAge maxAge
9470 26 617.3461538461538 1940
9290 31 617.6129032258065 2030
9310 30 655.7 2050
9350 28 594 1820
9340 29 595.6896551724138 1810
9130 28 695.0714285714286 1870
9360 28 604 1830
9520 30 571.1333333333333 1990
9180 30 628.0333333333333 1920
9400 29 597.3103448275862 1870
9390 28 608.6071428571429 1860
9570 29 632.3793103448276 2040
9410 28 605.3214285714286 1880
9450 27 609.2962962962963 1920
9620 27 637.3333333333334 2090
9440 28 606.5 1910
9230 33 541.2727272727273 1970
9460 26 607.3461538461538 1930
9490 28 580.7142857142857 1960
9670 28 648.6785714285714 2140
9500 29 570.4827586206897 1970
9280 31 607.6129032258065 2020
9510 29 580.4827586206897 1980
9550 31 582.483870967742 2020
9540 31 572.483870967742 2010
9330 30 635.1 2070
